,title,area,numberOfRooms,price,town,district
28,Kınalıada'da Eşyalı Kiralık Sıfır Daire,90,2+1,22.000,Kınalıada,Kınalıada Mh.
29,Planet'ten Müstakil Bahçeli 2+1 Full Eşyalı Sezonluk Daire,110,2+1,45.000,Büyükada,Nizam Mh.
30,OZAN EMLAK'TAN 3 AYLIK SEZONLUK KİRALIK DAİRE,85,2+1,45.000,Büyükada,Maden Mh.
31,"FIRSAT//BÜYÜKADA NİZAM'DA, DENİZ MANZARALI GÖRÜLMEYE DEĞER DAİRE",120,3+1,25.000,Büyükada,Nizam Mh.
32,Planet'ten Deniz Manzaralı İçi Sıfır 3+1 Kiralık Daire,125,3+1,14.000,Büyükada,Maden Mh.
33,Büyükada Madende AĞUSTOS Kiralık Geniş 3+1 Çatı Dublex,200,3+1,29.400,Büyükada,Maden Mh.
34,Büyükada merkezde 3+1 balkonlu Deniz.M doğalgazlı kiralık daire,110,3+1,7.000,Büyükada,Nizam Mh.
35,BÜYÜKADA'DA MADEN MAHALLESİNDE 2+1 SEZONLUK KİRALIK,95,2+1,25.000,Büyükada,Maden Mh.
36,HEYBELİADA'DA AYLIK KİRALAMALI SAHİLDE KEYİFLİ BAHÇE KATI,165,3+1,15.000,Heybeliada,
37,GÜNCELİZ'DEN BÜYÜKADA MERKEZDE EŞYALI MÜSTAKİL BAHÇELİ 2+1,100,2+1,12.500,Büyükada,Maden Mh.
38,Heybeliadada site içerisinde sezonluk daire 30000 tl aylık,130,3+1,30.000,Heybeliada,
39,Kınalıada Da 2023 İçin Sezonluk Deniz Manzaralı Kiralık Daire,90,2+1,100.000,Kınalıada,Kınalıada Mh.
40,"HEYBELİADADA ÖNÜ PLAJ,BAHÇE KATI,SEZONLUK EŞYALI KİRALIK DAİRE",125,3+1,50.000,Heybeliada,
41,"Büyükada'da Sahibinden 170m2, 3+1, Havuzlu Dubleks",200,3+1,15.500,Büyükada,Nizam Mh.
42,Büyükada kiralık bahçeli daire,65,2+1,12.000,Büyükada,Maden Mh.
43,HEYBELİADA SAHİBİNDEN KİRALIK 2+1 DAİRE,115,2+1,15.000,Heybeliada,
44,Burgazada'da sezonluk kiralık daira,60,1+1,27.000,Burgazada,Burgazada Mh.
45,"Burgazada 3+1 geniş, bahçeli, eşyalı, aylık ve sezonluk kiralık",160,3+1,35.000,Burgazada,Burgazada Mh.
46,"Tepeköyde Full Eşyalı, 2+1 Bahçe katı Daire",110,2+1,15.000,Büyükada,Maden Mh.
47,"Büyükada Çarşıya 5 dk mesafede bahçeli, eşyalı daire.",90,2+1,12.000,Büyükada,Nizam Mh.
48,"Heybeliada Mustakil, Manzarali, Esyali Ev",250,3+1,15.000,Heybeliada,
49,MEMURA KİRALIK ÇATI KATI,95,2+1,4.000,Arnavutköy,Arnavutköy Merkez Mh.
50,Sahibinden Temiz Kiralık daire,85,2+1,3.800,Hadımköy,(Boyalık)Deliklikaya Mah.
51,Bolluca mavigöl mahallesinde oldukça kullanışlı sıfır daire,90,2+1,4.500,Bolluca,Mavigöl Mh.
52,EŞYALI 3+1 BAYAN MEMURA KİRALIK DAİRE,130,3+1,5.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
53,hadımköyde eşyalı otoparklı daire,100,2+1,5.000,Hadımköy,(Boyalık)Hastane Mah.
54,Arnavutköy Anadolu Mahallesinde Kiralık 70 m2 1+1 Çatı Kat Daire,75,1+1,4.000,Arnavutköy,Anadolu Mah.
55,ARA KAT 3+1 UYGUN FİYATLI AİLE İÇİN KİRALIK DAİRE,140,3+1,3.500,Taşoluk,Fatih Mah.
56,ARNAVUTKÖY TAŞOLUK'DA EŞYALI SIFIR 1+1 DAİRE ACIKLAMAYI OKUYUNUZ,65,1+1,4.700,Taşoluk,Mehmet Akif Ersoy Mah.
57,ARNAVUTKÖY MERKEZ MAH. MEMUR BAYANA KİRALIK DAİRE,85,2+1,3.750,Arnavutköy,Arnavutköy Merkez Mh.
58,Kiralık Merkeze 5 dk Uzaklıkta Mükemmel Ötesi Lüx Emlak Ofisinden 2+1 Doğalgaz Sobası,105,2+1,6.500,Arnavutköy,Anadolu Mah.
59,Arnavutköy Bolluca'da kiralık daire,105,2+1,4.000,Bolluca,
60,MERKEZ JANDARMA ÜSTÜNDE KİRALIK 2+1 1. KAT 75 METRE,80,2+1,4.100,Arnavutköy,Mustafa Kemal Paşa Mh.
61,HAVALİMİNA 15 DK BOLLUCA MERKEZDE 2+1 ÇATI KATI,90,2+1,3.500,Bolluca,Mavigöl Mh.
62,2+1 Amerikan Mutfaklı Ters Dubleks,95,2+1,3.900,Arnavutköy,Yunus Emre Mah.
63,Arnavutköy Anadolu mahallesin'de kiralık ara kat daire,98,2+1,4.100,Arnavutköy,Anadolu Mah.
64,Hadımköy toki konutlarında kiralık daire,95,2+1,3.500,Arnavutköy,Hadımköy Mh.
65,Sahibinden memura kiralık daire,110,2+1,4.500,Arnavutköy,Anadolu Mah.
66,Arnavutköy Merkez Mahallesinde 2+1 Çatı Katı Avlu 34 Yakın,75,2+1,3.500,Arnavutköy,Arnavutköy Merkez Mh.
67,3+1 ARAKAT DAİRE,115,3+1,5.500,Arnavutköy,Anadolu Mah.
68,SOYAK KONFORİA3+1B TİPİ EN GENİŞ MODEL DAİRE KİRALIK-TEK YETKİLİ,140,3+1,8.000,Hadımköy,(Boyalık)Deliklikaya Mah.
69,Arnavutköy Anadolu Mahallesinde 90 m2 2+1 Kiralık Daire,95,2+1,5.000,Arnavutköy,Anadolu Mah.
70,Anadolu mh B katı 90 m2,100,2+1,3.500,Arnavutköy,Anadolu Mah.
71,ARNAVUTKÖY KİPTAŞ KONUTLARINDA 2+1 ARA KAT 75 m2 DAİRE (MEMURA),75,2+1,4.500,Arnavutköy,Mustafa Kemal Paşa Mh.
72,ARNAVUTKÖY NENEHATUN MAHALLESİNDE KİRALIK 2+1 BODRUM KAT,85,2+1,3.100,Arnavutköy,Nenehatun Mah.
73,HADIMKÖY KİPTAŞ 2.ETAP ÖMERLİ FULL EŞYALI MEMURA KİRALIK DAİRE,95,2+1,6.500,Hadımköy,(Boyalık)Ömerli Mh.
74,KİPTAŞ HADIMKÖY 3.ETAP KONUTLARINDA KİRALIK ARAKAT 2+1 DAİRE,84,2+1,3.400,Hadımköy,(Boyalık)Deliklikaya Mah.
75,kiptaş hadımköy 2 etap konutları,75,2+1,4.000,Hadımköy,(Boyalık)Ömerli Mh.
76,HADIMKÖY 3.ETAP KİPTAŞ KONUTLARI KİRALIK DAİRE TURYAP'TAN,82,2+1,3.700,Hadımköy,(Boyalık)Deliklikaya Mah.
77,Sahibinden Arnavutkoy Taşoluk toki evleri,120,3+1,7.000,Taşoluk,Mehmet Akif Ersoy Mah.
78,Haraççı'da 2+1 kullanışlı daire,110,2+1,4.750,Haraççı,Haraççı Mh.
79,Anadolu mahallesi kiralık dubleks,200,3+2,5.800,Arnavutköy,Anadolu Mah.
80,KİRALIK DUBLEX,140,4+2,6.000,Hadımköy,(Boyalık)Ömerli Mh.
81,Arnavutköy Merkezi teraslı çatı piyesli daire,80,1.5+1,5.000,Arnavutköy,Arnavutköy Merkez Mh.
82,BOLLUCADA İSTANBUL HAVALİMANI YAKININDA FULL EŞYALI KİRALIK 2+1,85,2+1,7.200,Bolluca,Mavigöl Mh.
83,ARNAVUTKÖY SKYPARK 1DE KİRALIK 2+1 KİRALIK DAİRE,75,2+1,6.750,Taşoluk,Mareşal Fevzi Çakmak Mh.
84,Hadımköy Kiptaş 3. Etap Konutları,84,2+1,3.500,Hadımköy,(Boyalık)Deliklikaya Mah.
85,Arnavutköyde taşınmaya hazır mükemmel ötesi 3+1 yeni daire,125,3+1,7.500,Arnavutköy,Arnavutköy Merkez Mh.
86,Arnavutköy de kiralık eşyalı daire Açıklamayı okuyun,100,2+1,10.000,Arnavutköy,Anadolu Mah.
87,TAŞOLUK TOKİ KİRALIK ARA KAT,100,2+1,4.000,Taşoluk,Taşoluk Mh.
88,TEKİN EMLAKTAN KİRALIK 2+1 BAHÇE KATI,100,2+1,4.500,Taşoluk,Taşoluk Mh.
89,DELİKLİKAYA'DA 7/24 GÜVENLİKLİ SİTEDE 2+1 EŞYALI KİRALIK DAİRE,84,2+1,5.000,Hadımköy,(Boyalık)Deliklikaya Mah.
90,ARNAVUTKÖY İSLAMBEY MAH. CADDE ÜSTÜNDE SIFIR 2+1 KİRALIK DAİRE,80,2+1,4.000,Arnavutköy,İslambey Mh.
91,HADIMKÖY MERKEZ DE KİRALIK 3+1 E.BANYOLU BOŞ DAİRE,125,3+1,5.700,Arnavutköy,Hadımköy Mh.
92,Anadolu mahallesi kiralık 180m2 dubleks.,190,3+2,6.000,Arnavutköy,Anadolu Mah.
93,KÖY İÇİNDE KİRALIK DAİRE,95,2+1,3.750,Hadımköy,(Boyalık)Ömerli Mh.
94,sahibinden 2+1 AKpinar TOKİ de 2+1 daire,85,2+1,4.000,Arnavutköy,Hadımköy Mh.
95,Miaport 1.Etap Arnavutköy'de THY Çalış.Özel Balkonlu Kiralık 1+1,90,1+1,5.500,Haraççı,Haraççı Mh.
96,MERKEZ DE CADDE UZERI ULTRA LUKS GENIS 3+1 135 M2 DAIRE,140,3+1,7.000,Arnavutköy,İslambey Mh.
97,3+1geniş ferah daire,180,3+1,4.500,Taşoluk,Adnan Menderes Mah.
98,Sıfır bina sıfır fulll daire,100,2+1,6.000,Arnavutköy,Arnavutköy Merkez Mh.
99,''KAPLAN İNŞAAT''DAN ARNAVUTKÖY DE 2+1 KİRALIK DAİRE,130,2.5+1,4.000,Arnavutköy,Yavuz Selim Mah.
100,HADIMKÖY KİPTAŞ 2.ETAP ÖMERLİ KİRALIK DAİRE TURYAP REDOX EMLAK,75,2+1,4.500,Hadımköy,(Boyalık)Ömerli Mh.
101,Hadim köy kiptas3 etap kiralik memur kiraci tercih sebebi,80,2+1,3.800,Hadımköy,(Boyalık)Deliklikaya Mah.
102,2. ETAP ÖMERLİ KİPTAŞ'DA 95 M2 GÜNEY DOĞU KİRALIK 2+1 DAİRE,95,2+1,4.500,Hadımköy,(Boyalık)Ömerli Mh.
103,BAHÇEŞEHİRİN YANI BAŞINDA BANKACILAR SİTESİ 3+1 165M2,165,3+1,6.000,Hadımköy,(Boyalık)Deliklikaya Mah.
104,İstanbul Havalimanı Karadeniz Kıyısı Yeniköy'de Kiralık Müstakil,200,2+1,4.000,Köyler,Yeniköy Mh.
105,HADIMKÖY TOKİ DE KITALIK 95 mt DAİRE,95,2+1,4.000,Arnavutköy,Hadımköy Mh.
106,Merkezi konumda bahçe katı 2+1 kiralık 15 metre bahçeli,90,2+1,3.600,Arnavutköy,Anadolu Mah.
107,HADIMKÖY KİPTAŞ KONUTLARINDA KİRALIK 2+1 DAİRE,85,2+1,3.750,Arnavutköy,Hadımköy Mh.
108,sahibinden Hadımköy toki 3+1kiralik daire,115,3+1,6.000,Arnavutköy,Hadımköy Mh.
109,Temiz ve Kaliteli Daire Çift Balkonlu,100,2+1,5.000,Boğazköy,Atatürk Mh.
110,Karaburun'da Kiralık villa,100,2+1,5.000,Köyler,Karaburun Mh.
111,Arnavutköy Anadolu Mahallesi 2+1 110m2 Salı Pazarına Yakın 1 Kat,120,2+1,4.900,Arnavutköy,Anadolu Mah.
112,Full eşyalı yeni Daire merkezin en iyi yeri,100,2+1,7.000,Arnavutköy,Anadolu Mah.
113,HADIMKÖY MERKEZ EŞYALI KİRALIK DAIRE BEKAR ve YABANCIYA UYGUN,180,2+1,7.000,Hadımköy,(Boyalık)Hastane Mah.
114,Hadımköy Toki 3. Bölge 3+1 Kiralık arakat daire K'larda,120,3+1,5.000,Arnavutköy,Hadımköy Mh.
115,İŞYERİNEDE UYGUN KİRALIK İKİ DUBLEKS HAVALİMANINA YAKIN,230,4+2,6.000,Haraççı,Haraççı Mh.
116,Anadolu mahallesinde lüks kiralık daire,140,3+1,4.600,Arnavutköy,Anadolu Mah.
117,Arnavutköy Bollucada Kiralık Daire,110,2+1,5.000,Bolluca,Mavigöl Mh.
118,ARNAVUTKÖY MERKEZE 5 DK KİRALIK DAİRE,90,2+1,3.500,Arnavutköy,Mustafa Kemal Paşa Mh.
119,Sahibinden Skypark1 2+1 ( Havalimanina Yakın),90,2+1,5.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
120,DELİKLİKAYA ELİT BAHÇEKENT SİTESİ'NDE KİRALIK 3+1 DAİRE,172,3+1,7.000,Hadımköy,(Boyalık)Deliklikaya Mah.
121,ANADOLU MAHALLESİNDE SIFIR 2+1,100,2+1,5.000,Arnavutköy,Anadolu Mah.
122,ARNAVUTKÖY KARABURUN DA SAHİL MANZARALI KİRALIK DAİRE,150,2+1,6.200,Köyler,Karaburun Mh.
123,Osmanlı Konaklarında Lüks Daire,90,2+1,7.400,Taşoluk,Mareşal Fevzi Çakmak Mh.
124,Arnavutköy Anadolu Mahallesi 1+1 Çatı Katı Salı Pazarına Yakın,70,1+1,4.000,Arnavutköy,Anadolu Mah.
125,HAS EVİM YAPIDAN YATIRIMLIK KELEPİR FİYATA ÇATI KAT DAİRE,80,2+1,580.000,Arnavutköy,Anadolu Mah.
126,SOYAK KONFORİA PROJESİ KÜRELİKLİLER SİTESİ 2+1 KİRALIK 4.500-TL,100,2+1,4.500,Hadımköy,(Boyalık)Deliklikaya Mah.
127,İstanbul Havalimanı Arnavutköy Bolluca'da 2+1 Kiralık Daire,90,2+1,6.500,Bolluca,Mavigöl Mh.
128,Arnavutköy Taşolukta Kiralık 1 ci Kat 2+1 Daire,100,2+1,4.650,Taşoluk,Mehmet Akif Ersoy Mah.
129,''KAPLAN İNŞAAT'' DAN ARNAVUTKÖY DE 2+1 100 m2 KİRALIK DAİRE,105,2+1,4.500,Arnavutköy,Yavuz Selim Mah.
130,İstanbul havaalanına 15 dakka eşyalı kiralık dayre,150,3+1,8.000,Köyler,Yeniköy Mh.
131,YENİ HAVALİMANINA YAKIN MUAYYER DUBLEKS AVANTAJLI FERAH MERKEZİ,230,4+2,6.000,Haraççı,Haraççı Mh.
132,Sahibinden Memura Kiralık Daire,95,2+1,4.750,Arnavutköy,Anadolu Mah.
133,Aile binasi,100,2+1,4.500,Arnavutköy,Anadolu Mah.
134,Arnavutköy Yunus Emre mahallesin'de 2+1 ara kat,100,2+1,3.500,Arnavutköy,Yunus Emre Mah.
135,Arnavutköy Anadolu Mahallesi 2+1 Arakat Daire Sıfr Memura,90,2+1,5.000,Arnavutköy,Anadolu Mah.
136,HADIMKÖY KİPTAŞ 2.ETAP ÖMERLİ KİRALIK DAİRE TURYAP REDOX EMLAK,75,2+1,4.500,Hadımköy,(Boyalık)Ömerli Mh.
137,ARNAVUTKÖY KİPTAŞ 2 KONUTLARINDA BOŞ TEMİZ KOMBİLİ KİRALIK 95M2,95,2+1,4.750,Hadımköy,(Boyalık)Ömerli Mh.
138,YEŞİL BAHÇEKENT KONUT YAPI 3+1,159,3+1,7.750,Hadımköy,(Boyalık)Deliklikaya Mah.
139,ARNAVUTKÖY HARAÇÇI'DA KİRALIK 105 M2 BALKONLU 2+1 DAİRE,105,2+1,4.000,Haraççı,Haraççı Mh.
140,SKYPARK 1 ' DE KİRALIK 2+1 SITE İÇİ,85,2+1,6.500,Arnavutköy,İslambey Mh.
141,MAVİGOL MAHALLESİNDE KİRALİK ARAKAT DAİRE.,100,2+1,4.500,Bolluca,Mavigöl Mh.
142,EŞYALI 3+1 MERKEZDE KİRALIK DAİRE,130,3+1,5.000,Arnavutköy,Arnavutköy Merkez Mh.
143,Arnavutköy merkezde 120m2 3+1 Kiralık,140,3+1,7.500,Arnavutköy,Arnavutköy Merkez Mh.
144,ARNAVUTKÖYDE YENİ YAŞAM KONAKLARINDA KİRALIK 2+1 DAİRE,100,2+1,6.500,Arnavutköy,İslambey Mh.
145,KIRALIK BOŞ DAİRE,95,2+1,5.000,Hadımköy,(Boyalık)Ömerli Mh.
146,''KAPLAN İNŞAAT'' DAN ARNAVUTKÖY DE 3+1 100 m2 KİRALIK DAİRE,105,2+1,4.500,Arnavutköy,Yavuz Selim Mah.
147,KİPTAŞ KONUTLARINDA 2+1 KİRALIK 75 m2 EN ÜST KAT (MEMURA),75,2+1,4.500,Arnavutköy,Mustafa Kemal Paşa Mh.
148,BAHÇEŞEHİR SOYAK KONFORİA EŞYALI KİRALIK 1+1 DAİRE,65,1+1,5.000,Hadımköy,(Boyalık)Deliklikaya Mah.
149,TEK YETKIL TEYAŞ EMLAK' TAN SKYPARK 1 DE KIRALIK 2+1 (kod-d:33),60,2+1,6.200,Taşoluk,Mareşal Fevzi Çakmak Mh.
150,Deliklikaya 3.Etap Kiptaş Konutları 2+1Kiralık 3.500-Tl Daire,84,2+1,3.500,Hadımköy,(Boyalık)Deliklikaya Mah.
151,hadımköy 2.etap kiptaş konutları,75,2+1,4.000,Hadımköy,(Boyalık)Ömerli Mh.
152,ÖZAY GAYRİMENKUL'DEN MEMUR AİLEYE KİRALIK 2+1 100m2 ARAKAT,105,2+1,4.250,Arnavutköy,Anadolu Mah.
153,TAŞOLUK TOKİ KONUTLARIN DA EŞYALI 2+1 KİRALIK DAİRE,100,2+1,7.500,Taşoluk,Mehmet Akif Ersoy Mah.
154,"ARNAVUTKÖY,DE 4+2 ÇATI DUBLEKS BAKIMLI EV Snowboard,dan",200,4+2,8.500,Arnavutköy,Arnavutköy Merkez Mh.
155,YEŞİL BAHÇEKENT KONUT YAPI 3+1,159,3+1,7.750,Hadımköy,(Boyalık)Deliklikaya Mah.
156,Deliklikaya'da Kiptaş 3.Etap Konutlarında Giriş Kat Kiralık,84,2+1,3.200,Hadımköy,(Boyalık)Deliklikaya Mah.
157,DELİKLİKAYA KÜRELİKLER SİTESİNDE GÜVENLİKLİ MANZARALI ARAKAT 2+1,100,2+1,4.500,Hadımköy,(Boyalık)Deliklikaya Mah.
158,HADIMKÖY KİPTAŞ 2.ETAP ÖMERLİ KİRALIK DAİRE TURYAP REDOX EMLAK,125,3+1,6.000,Hadımköy,(Boyalık)Ömerli Mh.
159,KİPTAŞ HADIMKÖY DELİKLİKAYA 2+1 KİRALIK DAİRE,85,2+1,3.500,Hadımköy,(Boyalık)Deliklikaya Mah.
160,2+1 90 M2 Katı,100,2+1,4.000,Taşoluk,Taşoluk Mh.
161,Hadımköy TOKİ akpınar temiz kiralık daire,75,2+1,3.500,Arnavutköy,Hadımköy Mh.
162,Arnavutköy Yunus Emre'de 2+1 ara kat,100,2+1,3.500,Arnavutköy,Yunus Emre Mah.
163,2+1 GİRİŞ VE GİRİŞALTI(TERS DUBLEX) KİRALİK SIFIR DAİRE,95,2+1,4.100,Taşoluk,Taşoluk Mh.
164,ARNAVUTKÖY MERKEZDE 3 + 1 daire SADECE MEMURA VERİLECEKTİR,135,3+1,5.500,Arnavutköy,Anadolu Mah.
165,deliklikayada yeni sitede taşınmaya hazır mükemmel 3+1 geniş ev,160,3+1,7.750,Hadımköy,(Boyalık)Deliklikaya Mah.
166,İSLAMBEY MAHALLESİN'DE 3+1 KİRALIK DAİRE,145,3+1,5.500,Arnavutköy,İslambey Mh.
167,ARNAVUTKÖY NENEHATUN MAH.KİRALIK YÜKSEK GİRİŞ DAİRE 2+1 80M2,85,2+1,3.500,Arnavutköy,Nenehatun Mah.
168,DELİKLİKAYA KİPTAŞ 3.ETAP KONUTLARINDA KİRALIK 2+1 DAİRE,84,2+1,3.700,Hadımköy,(Boyalık)Deliklikaya Mah.
169,HADIMKÖY KİPTAŞ 2.ETAP ÖMERLİ KİRALIK DAİRE TURYAP REDOX EMLAK,95,2+1,5.000,Hadımköy,(Boyalık)Ömerli Mh.
170,Doğa Manzaralı 2+1 Kaçırılmayacak Fırsat! Giriş Katı Yok Kiralık Acil!,95,2+1,3.500,Hadımköy,(Boyalık)Ömerli Mh.
171,HADIMKÖY VEFA KONUTLARI 2+1 DAİRE (AÇIKLAMAYI OKUYUNUZ,115,2+1,5.500,Arnavutköy,Hadımköy Mh.
172,HADIMKÖY TOKİDE KİRALIK DAİRE,75,2+1,3.500,Arnavutköy,Hadımköy Mh.
173,KİRALIK DAİRE,75,2+1,3.900,Arnavutköy,Hadımköy Mh.
174,Arnavutköy Merkeze Yakın 2+1 Ara Kat Daire Şehir Parkına Yakın,90,2+1,5.000,Arnavutköy,Anadolu Mah.
175,Sahibinden Acil Kiralık Daire,90,2+1,3.950,Taşoluk,Mehmet Akif Ersoy Mah.
176,İSLAMBEY MAHALLESİN'DE SIFIR LÜX KİRALIK DAİRE,110,2+1,4.300,Arnavutköy,İslambey Mh.
177,Hadımköy Kiptaş 3.Etap Konutlarında Ara Kat KİRALIK 2+1,84,2+1,3.500,Hadımköy,(Boyalık)Deliklikaya Mah.
178,Dolapdere villa yanında mstakil apartmanda 3+1 kiralık daire,165,3+1,12.000,Hadımköy,(Boyalık)Deliklikaya Mah.
179,HADIMKÖY TOKİ 1. ETAP KONUTLARI'NDA 3+1 KİRALIK DAİRE,132,3+1,5.750,Arnavutköy,Hadımköy Mh.
180,ARNAVUTKÖY MUSTAFA KEMAL PAŞA MAH.DE EŞYALI KİRALIK 2+1 DAİRE,100,2+1,7.250,Arnavutköy,Mustafa Kemal Paşa Mh.
181,3.ETAP KİPTAŞ KONUTLARI 2+1KİRALIK 3.700-TL DAİRE,84,2+1,3.700,Hadımköy,(Boyalık)Deliklikaya Mah.
182,Anadolu Mahallesi 2+1 Ara Kat Daire Asansör Yok Sadece Memura,80,2+1,4.000,Arnavutköy,Anadolu Mah.
183,HADIMKÖY KİPTAŞTA EŞYALI KİRALIK DAİRE,75,2+1,5.500,Arnavutköy,Hadımköy Mh.
184,ARNAVUTKÖYDE ACİL EŞYALI EŞYASIZ 3+1 GİRİŞ KAT İLK GELEN KAZANIR,165,3+1,12.000,Hadımköy,(Boyalık)Deliklikaya Mah.
185,TEYAŞ EMLAK'TAN SKYPARK 1DE KİRALIK 1+1 (kod:D1) BAHÇELİ,74,1+1,5.750,Taşoluk,Mareşal Fevzi Çakmak Mh.
186,HADIMKÖY KİPTAŞ 2.ETAP ÖMERLİ KİRALIK DAİRE TURYAP REDOX EMLAK,75,2+1,4.250,Hadımköy,(Boyalık)Ömerli Mh.
187,HADIMKÖY VEFA KONUTLARI 3+1 DAİRE (AÇIKLAMAYI OKUYUNUZ,150,3+1,7.000,Arnavutköy,Hadımköy Mh.
188,BOLLUCA`DA 130m2 GENİŞ 2+1 daire,140,2+1,6.000,Bolluca,Mavigöl Mh.
189,Hadımköy Deliklikaya Kiptaş 3. Etap 2+1 Sahibinden Kiralık Daire,100,2+1,3.750,Hadımköy,(Boyalık)Deliklikaya Mah.
190,"KÜRELİKLİLER SİTESİ C BLOK 7.KAT 2+1 KİRALIK, 100 M2,4.500.-TL",1.000,2+1,4.500,Hadımköy,(Boyalık)Deliklikaya Mah.
191,Hadımköy Toki 2.Bölge Temiz Masrafsız 2+1 Arakat Kiralık Daire,95,2+1,4.500,Arnavutköy,Hadımköy Mh.
192,DRS GAYRİMENKUL 2+1 SIFIR DAİRE (ACIKLAMAYI MUTLAKA OKUYUN),85,2+1,3.000,Arnavutköy,Nenehatun Mah.
193,Arnavutköy İslambey' de Temiz Taşınmaya Hazır 2+1 Kiralık Daire,115,2+1,5.500,Arnavutköy,İslambey Mh.
194,ÇOK UYGUN FİYATA 3+1 KİRALIK DAİRE SİTE İÇİ,120,3+1,3.700,Taşoluk,Fatih Mah.
195,SAHİBİNDEN SKYPARK1 SİTESİNDE KİRALIK SIFIR LÜKS DAİRE,85,2+1,6.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
196,TEYAŞ EMLAK'TAN SKYPARK 1DE KIRALIK 2+1 DUBLEX (kod:b31),100,2+1,6.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
197,Arnavutköy deliklikaya hadımköy konutları 3.etap 2+1,85,2+1,3.500,Arnavutköy,Hadımköy Mh.
